Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1490.9231	137.55565	-335.92834	-1009.1517	261.5263	-0.0234589	0.009150133	-0.0028406866	-0.051125374	5000	-2.9571534e-06	21175.555	-0.0079762405	-2354.545	0.9189386	0.007113941	0.0766	79.0	22.94143581390381
1	-1500.9231	2896832000000000.0	-402.85336	-9656108000000000.0	477.2	-8.931041	0.032464992	-8.843918	-8.992184	10000	-7.202148e-07	19370.894	-0.0036773987	0.0	0.9248486	0.017333655	0.3038	9.0	43.6077401638031
2	-1397.62607	82.26815	-269.42538	-541.9411	210.91304	-17.8096	0.0017238043	-17.806028	-17.813204	15000	-1.5197753e-06	12255.002	-0.01059602	-183.57227	0.9240751	0.005526179	0.1096	79.0	68.13424944877625
3	-1966.7879	692.0875	-303.14288	-2954.2556	352.14285	-18.652447	0.0020346814	-18.6474	-18.65541	20000	-3.466797e-06	10146.766	-0.004001712	-0.109375	0.9222448	0.01634479	0.2636	7.0	89.02936005592346
4	-1467.4101	809932.2	-411.6822	-2074922.6	851.4	-18.651966	0.0016727798	-18.648682	-18.655125	25000	8.5449216e-08	14261.3334	-0.0040763626	0.0	0.92225575	0.016119216	0.2708	8.0	107.79172611236572
5	-1006.86646	344.22867	-420.71478	-1391.6741	613.625	-18.653473	0.0012862516	-18.64964	-18.655273	30000	6.4849854e-07	11958.675	-0.005578752	0.0	0.92193234	0.015469482	0.2126	7.0	127.24933648109436
6	-1076.8364	291.49002	-711.66046	-1573.0558	834.6	-18.651592	0.0019190134	-18.648113	-18.655151	35000	3.3233641e-06	9904.685	-0.00681266	0.0	0.9208858	0.006068397	0.064399995	79.0	146.23181462287903
7	-1275.5825	61.572617	-1170.2544	-1344.3071	1000.0	-18.653944	0.0012086738	-18.649513	-18.655659	40000	-4.4784545e-07	10127.704	-0.0056052203	0.0	0.9125722	0.0049109906	0.0466	79.0	165.13787460327148
8	-1214.5789	160.76512	-1056.5637	-1501.1238	1000.0	-18.653849	0.00129395	-18.65074	-18.655357	45000	2.3908615e-06	9177.561	-0.0058205985	0.0	0.9159889	0.0044507477	0.063599996	79.0	184.46472764015198
9	-1269.7863	131.37135	-1019.9339	-1390.975	1000.0	-18.654207	0.0014886908	-18.649227	-18.655659	50000	1.0807037e-06	10110.259	-0.007710539	0.0	0.90713555	0.0058588604	0.0648	79.0	203.79517245292664
10	-1381.9924	45.03372	-1333.6896	-1443.9708	1000.0	-18.654526	0.0011307937	-18.648825	-18.655659	55000	-2.8900147e-06	12302.845	-0.0057602064	0.0	0.90315247	0.0038302692	0.044	79.0	222.6233310699463
11	-1380.3182	56.94283	-1299.9906	-1454.441	1000.0	-18.655205	0.0005568021	-18.651493	-18.655659	60000	1.839447e-06	12122.239	-0.0092204595	0.0	0.8944166	0.0090240175	0.094	79.0	241.38392901420593
12	-1259.1377	178.18382	-1041.166	-1492.8344	932.6	-18.655333	0.00042521552	-18.653656	-18.655968	65000	-7.125854e-06	11119.557	-0.0076868865	0.0	0.87993634	0.005504923	0.0884	79.0	260.390762090683
13	-1036.5548	180.50269	-782.8073	-1287.3586	799.6667	-18.655209	0.00047968602	-18.653336	-18.655659	70000	8.605194e-06	9752.985	-0.0051175468	0.0	0.8741935	0.020953191	0.24419999	5.0	279.1709578037262
14	-1065.8803	inf	-2007.7694	-3.269652e+20	880.6	-18.652956	0.0025315566	-18.644814	-18.655659	75000	0.0	9552.985	0.0	nan	0.8734976	0.015311105	0.264	9.0	298.0350115299225
15	-1026.1677	2.9261767e+18	-27384881000.0	-9.347418e+18	546.1111	-40.053833	7.6293945e-06	-40.053825	-40.053825	80000	0.0	9852.985	0.0	nan	0.872304	0.007329034	0.0742	79.0	318.1926443576813
16	-1032.3003	inf	-53441950000.0	-1.5875999e+24	395.41666	-42.323063	0.0	-42.323063	-42.323063	85000	0.0	10752.985	0.0	nan	0.8715391	-5.1188465e-07	0.0	79.0	339.19033789634705
17	-1057.5763	1.2886563e+17	-30333082000.0	-4.3242387e+17	354.7857	-42.323063	0.0	-42.323063	-42.323063	90000	1.0681152e-08	10288.137	-0.0041765454	0.0	0.8715391	0.017923716	0.2374	6.0	360.9098310470581
18	-1033.3873	inf	-97110980000.0	-3.3127278e+19	497.6	-42.323063	0.0	-42.323063	-42.323063	95000	0.0	11288.137	0.0	nan	0.8721699	0.016821899	0.2674	9.0	381.9186623096466
19	-1021.1433	2.7022553e+17	-8112776.5	-7.253849e+17	742.0	-42.323063	0.0	-42.323063	-42.323063	100000	-5.795288e-06	13288.137	-0.0019602568	0.0	0.8731081	0.016025841	0.1422	8.0	401.1163868904114
20	-1088.5727	1980545400000.0	-977.4906	-5314361000000.0	737.8333	-42.323063	0.0	-42.323063	-42.323063	105000	3.601074e-07	12835.8448	-0.0034418153	0.0	0.8728624	0.01755127	0.3004	6.0	420.2453103065491
21	-1045.5139	159.61203	-856.68823	-1405.8918	588.375	-42.323063	0.0	-42.323063	-42.323063	110000	-5.645752e-07	12760.664	-0.007277441	0.0	0.87263244	0.0052842256	0.0804	79.0	440.4341015815735
22	-1526.525	1135.6658	-878.07245	-4292.5864	646.4286	-42.323063	0.0	-42.323063	-42.323063	115000	5.343628e-06	10676.195	-0.004193751	0.0	0.87782264	0.015883988	0.2094	6.0	459.5781080722809
23	-1182.2673	227.5343	-868.8148	-1450.9149	725.0	-42.323063	0.0	-42.323063	-42.323063	120000	-1.9493102e-06	10299.943	-0.007046328	0.0	0.8777221	0.0032460266	0.0654	79.0	479.87434101104736
24	-1161.5791	274.68436	-875.92487	-1743.7325	720.3333	-42.323063	0.0	-42.323063	-42.323063	125000	8.113861e-07	9903.374	-0.011135743	0.0	0.88003767	0.010450417	0.120799996	79.0	499.08954763412476
25	-1894.113	50130.004	-1069.615	-128824.016	927.2	-42.323063	0.0	-42.323063	-42.323063	130000	2.017212e-06	10079.048	-0.005126547	0.0	0.8789382	0.006241414	0.0906	79.0	518.020468711853
26	-1266.2205	154.34366	-1093.5164	-1545.9835	895.4	-42.323063	0.0	-42.323063	-42.323063	135000	-1.0665894e-05	7976.1055	-0.008951865	0.0	0.8879179	0.007598698	0.0818	79.0	537.1734297275543
27	-1320.2297	153.93466	-1040.3347	-1457.1061	879.8	-42.323063	0.0	-42.323063	-42.323063	140000	-1.00250245e-05	8742.219	-0.008282901	0.0	0.8915481	0.009620832	0.0804	79.0	556.3609223365784
28	-1439.1459	71.11928	-1347.8936	-1523.606	1000.0	-42.323063	0.0	-42.323063	-42.323063	145000	-9.969711e-06	9191.073	-0.0059414934	0.0	0.90287906	0.0032177882	0.04	79.0	575.0910286903381
29	-1275.4124	146.9893	-1114.6598	-1472.9484	1000.0	-42.323063	0.0	-42.323063	-42.323063	150000	2.23732e-06	6656.8125	-0.0067980397	0.0	0.8990421	0.0027767546	0.0758	79.0	594.090987443924
30	-1421.2917	97.27515	-1291.3301	-1555.0889	1000.0	-42.323063	0.0	-42.323063	-42.323063	155000	-2.1434782e-06	8859.825	-0.007850593	0.0	0.88145393	0.0052879355	0.060799997	79.0	613.192332983017
31	-1533.6211	276.91397	-1206.7983	-2039.1105	1000.0	-42.323063	0.0	-42.323063	-42.323063	160000	-9.650421e-06	12134.915	-0.005483611	0.0	0.88494676	0.0037187012	0.0594	79.0	632.4964165687561
32	-1323.9722	174.80518	-1109.729	-1600.3091	1000.0	-42.323063	0.0	-42.323063	-42.323063	165000	-9.4947814e-07	7284.5215	-0.0056523667	0.0	0.8890533	0.0044247457	0.0376	79.0	652.1809771060944
33	-1412.3564	108.123276	-1237.4558	-1535.713	1000.0	-42.323063	0.0	-42.323063	-42.323063	170000	-8.300781e-07	8610.738	-0.007752706	0.0	0.8907577	0.00668952	0.070599996	79.0	671.6219465732574
34	-1550.2797	379.23276	-1202.6057	-2284.9836	1000.0	-42.323063	0.0	-42.323063	-42.323063	175000	5.7907105e-06	15185.779	-0.0047337078	0.0	0.8863541	0.0017901241	0.0438	79.0	690.6333167552948
35	-1457.2831	76.02203	-1327.5807	-1516.7905	983.2	-42.323063	0.0	-42.323063	-42.323063	180000	-5.1177976e-06	9467.175	-0.008348678	0.0	0.8858895	0.0055073015	0.0872	79.0	709.9900646209717
36	-1263.2621	144.99411	-1086.86	-1474.3198	1000.0	-42.323063	0.0	-42.323063	-42.323063	185000	-3.1692505e-06	6307.7246	-0.0067510526	0.0	0.88680834	0.0038882834	0.0448	79.0	728.7527284622192
37	-1422.016	82.75611	-1270.712	-1505.3251	1000.0	-42.323063	0.0	-42.323063	-42.323063	190000	-7.827759e-07	8644.475	-0.0024280287	0.0	0.89273596	0.015729364	0.1776	5.0	747.7785141468048
38	-1157.167	17765.906	-1258.1744	-46829.54	1000.0	-42.323063	0.0	-42.323063	-42.323063	195000	1.121521e-06	15817.719	-0.0052551054	0.0	0.8924047	0.005042153	0.0572	79.0	767.1171143054962
39	-1092.3532	1847064600000000.0	-1246.8678	-4617661600000000.0	980.2	-42.323063	0.0	-42.323063	-42.323063	200000	-7.919311e-06	12142.988	-0.0047523007	0.0	0.89855266	0.0027246359	0.0736	79.0	786.8603367805481
40	-1244.862	184.34108	-1056.1343	-1544.0211	1000.0	-42.323063	0.0	-42.323063	-42.323063	205000	8.51593e-06	6165.0947	-0.0068068067	0.0	0.8883499	0.0046343245	0.0692	79.0	805.4781451225281
41	-1166.10955	1322191000000000.0	-1097.8939	-3305477700000000.0	997.4	-42.323063	0.0	-42.323063	-42.323063	210000	1.0089111e-05	10925.642	-0.0057206266	0.0	0.88739985	0.005205108	0.0976	79.0	824.5302634239197
42	-1275.3699	98.342804	-1159.4736	-1408.988	1000.0	-42.323063	0.0	-42.323063	-42.323063	215000	-2.1888732e-06	6388.246	-0.007657384	0.0	0.9034228	0.006977635	0.084	79.0	843.3198044300079
43	-1308.4202	103.18775	-1185.429	-1442.0463	1000.0	-42.323063	0.0	-42.323063	-42.323063	220000	7.94506e-06	6896.5903	-0.011672559	0.0	0.89685565	0.009169719	0.1232	79.0	862.8086559772491
44	-1246.7351	107.426056	-1142.9088	-1389.8401	1000.0	-42.323063	0.0	-42.323063	-42.323063	225000	-1.1222839e-05	6006.107	-0.008355081	0.0	0.8895975	0.008350554	0.092999995	79.0	881.7627561092377
45	-1228.6698	86.789604	-1135.462	-1364.6124	1000.0	-42.323063	0.0	-42.323063	-42.323063	230000	6.538391e-06	5806.963	-0.007620806	0.0	0.87370706	0.0066716024	0.0748	79.0	900.9314856529236
