Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-133.33841	5.8717213	-123.48805	-138.94427	1000.0	0.12880798	0.00402567	0.13842791	0.120949894	4000	-9.6599586e-05	156.34032	-0.0044562398	-135.53908	0.91893846	0.005105793	0.03725	79.0	67.66823887825012
1	-127.19112	4.511213	-121.48928	-134.00533	1000.0	-8.478557	0.05962894	-8.351391	-8.567432	8000	0.0002387848	16.04089	-0.0039829244	-14.383875	0.9065984	0.0061192224	0.05375	79.0	135.41378092765808
2	-148.72083	13.5949545	-131.17076	-168.42052	1000.0	-11.605655	0.023292013	-11.544438	-11.6556835	12000	-0.00028399087	20.461975	-0.003563081	-9.813299	0.9036559	0.0015627579	0.045750003	79.0	203.13436365127563
3	-142.53067	19.82021	-116.19195	-171.8539	1000.0	-14.343561	0.018491333	-14.303051	-14.385987	16000	8.248139e-05	10.056735	-0.004708456	-0.011826515	0.897875	0.003426217	0.065500006	79.0	271.01333570480347
4	-121.06337	1.7207378	-118.66545	-123.335945	1000.0	-14.432481	0.013238469	-14.394444	-14.46296	20000	-0.0004697733	4.6808367	-0.0039272606	-4.4655423	0.88743114	0.00611202	0.052500002	79.0	338.77414298057556
5	-114.24243	3.896145	-107.83562	-118.35049	1000.0	-12.448598	0.019798303	-12.403636	-12.4877615	24000	6.0036662e-05	3.0991755	-0.0054835216	-1.0455475	0.87550414	0.009484203	0.071	79.0	406.2975413799286
6	-109.32414	3.6273112	-103.21159	-112.28294	1000.0	-11.381228	0.02190881	-11.3139715	-11.431187	28000	0.0002068882	2.4990215	-0.0040996335	-0.3524797	0.87491536	0.0046628816	0.065500006	79.0	474.12596106529236
7	-106.82303	6.3689995	-100.32479	-116.667854	1000.0	-10.783531	0.067991644	-10.587933	-10.896472	32000	0.00038458634	2.4656205	-0.006323662	-0.1898582	0.87034553	0.0069702114	0.05375	79.0	542.0042624473572
8	-101.289764	7.0406566	-89.27576	-107.12835	1000.0	-10.4228735	0.14082812	-10.142348	-10.692089	36000	-8.180201e-05	3.5607078	-0.0056204125	-1.49259	0.84935486	0.007527883	0.076000005	79.0	609.5640113353729
9	-90.64484	8.95197	-81.87169	-104.26609	1000.0	-9.593942	0.5706666	-8.305509	-10.769182	40000	-5.4032327e-05	4.7147737	-0.006268265	-2.9933286	0.8450244	0.010915194	0.08800001	79.0	677.3643915653229
10	-80.14618	7.5410748	-70.82064	-91.654816	950.0	-9.036223	1.7315637	-6.0609016	-11.436273	44000	-0.0008633523	4.220989	-0.007878974	-3.282753	0.85307634	0.00747986	0.108	79.0	745.3356673717499
11	-72.30884	3.8049972	-68.03771	-78.351524	795.2	-6.79589	3.6664407	-1.2810266	-12.022932	48000	0.0001787243	6.516163	-0.0048491973	-2.618664	0.83688164	0.005342207	0.06775001	79.0	815.7517995834351
12	-104.83894	283.93826	-52.34368	-772.5685	692.0	-7.5956182	2.5369632	-3.5222635	-11.49256	52000	-3.6663056e-05	4522.0337	-0.0016218111	-413.4663	0.82987225	0.0017946493	0.03325	79.0	884.6189670562744
13	-64.4944	46409523000.0	-53.849407	-117224470000.0	679.0	-24.024971	0.004222568	-24.015745	-24.031393	56000	0.00034933377	1.729671e+20	-0.005511479	0.0	0.8191983	0.0153453	0.16375001	4.0	953.0760953426361
14	-58.04168	5.69735	-51.98954	-66.35551	715.8	-45.026634	0.0	-45.026634	-45.026634	60000	0.00046931842	1426.5776	-0.0048117563	133.28406	0.81922907	0.0068196645	0.044000003	79.0	1021.304594039917
15	-49.163654	3.620516	-43.947994	-53.68578	571.2857	-46.768795	3.8146973e-06	-46.76879	-46.76879	64000	-0.0003307953	1633.8511	-0.0039623454	0.03149414	0.8018167	0.0038464009	0.038500004	79.0	1090.449110031128
16	-50.23801	3.6694486	-44.690125	-57.483078	543.0	-46.76928	3.8146973e-06	-46.769283	-46.769283	68000	-0.00019351483	1536.8456	-0.0045983307	0.0	0.7816918	0.0074763014	0.068	79.0	1159.2385439872742
17	-48.606995	2.9975727	-44.305153	-52.49988	513.1429	-46.76928	3.8146973e-06	-46.769283	-46.769283	72000	0.0005944133	1514.4573	-0.0052941293	0.0	0.76464444	0.0044000265	0.042000003	79.0	1227.9731047153473
18	-41.973244	3.264879	-37.105694	-47.535713	459.75	-46.76928	3.8146973e-06	-46.769283	-46.769283	76000	-0.00010082245	1550.5773	-0.003502724	0.0	0.76107854	0.007948197	0.060500003	79.0	1297.237200975418
19	-43.79604	6.990005	-38.159008	-62.814793	414.33334	-46.76928	3.8146973e-06	-46.769283	-46.769283	80000	6.570244e-05	1485.5775	-0.0046401313	0.0	0.7760395	0.0057921144	0.04425	79.0	1366.547480583191
20	-41.06637	4.4204445	-33.939323	-48.077488	416.8889	-46.76928	3.8146973e-06	-46.769283	-46.769283	84000	-3.8443566e-05	1534.1511	-0.007614259	0.0	0.76311505	0.0092047965	0.07675	79.0	1435.900497674942
21	-37.019043	3.0825307	-32.93015	-40.565357	384.7	-46.76928	3.8146973e-06	-46.769283	-46.769283	88000	-3.0817035e-05	1572.7117	-0.0050551686	0.0	0.74630225	0.0030834076	0.037	79.0	1506.144315958023
