Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-129.93787	5.8787513	-121.530876	-136.21786	1000.0	0.12890877	0.0037706124	0.13847068	0.12097738	5000	-2.9510497e-06	148.12617	-0.005063439	-129.57318	0.9189386	0.0053451597	0.058799997	79.0	82.41362595558167
1	-135.27855	11.461999	-124.1293	-157.45152	1000.0	-8.439399	0.059664074	-8.312028	-8.543262	10000	-1.4179229e-06	27.984558	-0.0031252275	-21.21449	0.90519434	0.0029334084	0.026999999	79.0	164.2278275489807
2	-141.69629	21.401608	-122.608	-183.31778	1000.0	-12.254043	0.034529153	-12.176521	-12.313974	15000	-2.3334503e-06	13.61012	-0.0037400897	-3.5065966	0.9010903	0.003252996	0.0532	79.0	246.1574068069458
3	-132.97232	3.792532	-129.11247	-139.13025	1000.0	-13.882233	0.021083396	-13.83438	-13.925719	20000	-4.996109e-06	0.630313	-0.0039083604	-0.20030451	0.89196765	0.0048321113	0.0382	79.0	327.9786903858185
4	-132.67476	13.118086	-122.84274	-158.4317	1000.0	-13.48165	0.021120362	-13.433831	-13.529691	25000	-1.3339996e-06	4.01626	-0.0033846067	-0.014234543	0.9040465	0.0026886363	0.0264	79.0	408.9863522052765
5	-122.372986	2.4170358	-119.47881	-126.844345	1000.0	-13.3575	0.01738577	-13.310671	-13.403013	30000	-1.7616271e-06	1.4461056	-0.0033933364	-1.0808381	0.9057266	0.005307346	0.0648	79.0	491.755845785141
6	-125.826004	2.3766377	-123.18953	-129.90216	1000.0	-12.26793	0.032954242	-12.18292	-12.344161	35000	2.7603148e-06	0.39452612	-0.007353967	-0.08321768	0.9084333	0.0051140417	0.063	79.0	574.1703634262085
7	-108.78513	5.8118386	-103.033676	-119.280045	1000.0	-12.552478	0.034467187	-12.446252	-12.614579	40000	4.393768e-06	4.0847826	-0.0040221927	-2.7084832	0.8949503	0.0067301	0.049	79.0	656.2768590450287
8	-104.28927	4.1580076	-100.097084	-109.54417	1000.0	-10.935369	0.021473274	-10.8721075	-10.986611	45000	1.1033057e-06	2.9917061	-0.0025927976	-0.590827	0.8962813	0.0054988535	0.0422	79.0	738.329916715622
9	-99.53352	4.20548	-93.23647	-105.856186	1000.0	-10.188227	0.117355645	-9.878033	-10.426027	50000	1.2499619e-05	2.919859	-0.0066888393	-1.2464389	0.9068043	0.007267773	0.0894	79.0	820.4419934749603
10	-93.35195	2.6276548	-89.93028	-97.84503	1000.0	-9.456701	0.5768398	-8.39163	-10.398277	55000	-2.5177956e-06	2.274889	-0.005908357	-1.7685235	0.8977539	0.007286582	0.058199998	79.0	902.3811726570129
11	-84.096245	2.0767362	-82.04859	-88.02664	1000.0	-7.8712626	1.8967142	-4.2611785	-11.31833	60000	-6.6425323e-06	0.59576714	-0.0065621864	-0.16836861	0.89739716	0.016807834	0.2316	3.0	984.3730745315552
12	-79.61174	2.507896	-75.61888	-83.208435	1000.0	-6.9336796	2.2636776	-3.8155196	-11.285224	65000	-2.4353026e-06	0.9444553	0.0040013595	-0.41009676	0.89750093	0.019451894	0.3286	3.0	1066.4235179424286
13	-80.603455	6.0921264	-75.25268	-92.421196	1000.0	-6.9039545	2.1751053	-3.7546155	-11.29686	70000	-2.531433e-06	3.7921023	-0.003492395	-0.90865135	0.8976069	0.020118525	0.2392	3.0	1147.9676785469055
14	-82.37446	106911650.0	-174.90831	-267422240.0	911.0	-6.9656	2.0708277	-4.998199	-11.313412	75000	-2.2491454e-06	712849500000000.0	-0.0031823881	-268435460.0	0.8976716	0.016818436	0.2592	6.0	1230.17409658432
