Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-10184.702	439.52838	-9470.821	-10600.081	1000.0	0.13013723	0.0042809336	0.13990924	0.122213535	4000	-6.4678197e-06	895535.9	-0.0049031447	-17310.438	0.91893846	0.005397718	0.047250003	79.0	64.22169613838196
1	-9645.118	435.4381	-8971.699	-10171.523	1000.0	-9.371009	0.042895474	-9.281134	-9.43217	8000	1.2817384e-06	784527.8	-0.0043292297	-10790.875	0.9054658	0.0076022237	0.0785	79.0	127.00817847251892
2	-10571.82	1263.2471	-9093.585	-12055.279	1000.0	-15.710845	0.011893024	-15.686747	-15.736212	12000	-2.292633e-06	1013105.94	-0.003935873	-11335.6875	0.89549285	0.002987127	0.038250003	79.0	190.4362223148346
3	-10117176000.0	17523444000.0	-9264.308	-40468673000.0	992.5	-21.78961	0.006158868	-21.77387	-21.798756	16000	-2.6321413e-07	2.0478888e+19	-0.0055298083	0.0	0.8770565	0.005967977	0.10875001	79.0	253.7092056274414
4	-9543.888	683.89166	-8562.521	-10316.037	970.25	-34.513214	3.8146973e-06	-34.513218	-34.513218	20000	3.4828188e-06	809833.75	-0.0037272223	-1890.875	0.8653434	0.0052630133	0.0445	79.0	316.1624710559845
5	-3774257000000.0	6965026000000.0	-9600.59	-17674178000000.0	798.4	-35.637688	7.6293945e-06	-35.63768	-35.63768	24000	3.3540728e-06	3.940843e+24	-0.005248506	0.0	0.85146827	0.004118088	0.072500005	79.0	379.3164007663727
6	-3.4359706e+16	5.949103e+16	-14044.205	-1.3740119e+17	926.25	-51.00793	1.1444092e-05	-51.00792	-51.00792	28000	-1.736641e-06	2.3717444e+32	-0.004469587	0.0	0.85882145	0.0038190188	0.043750003	79.0	442.473340511322
7	-39734740000000.0	68738963000000.0	-10207.814	-158794070000000.0	930.25	-67.42013	0.0	-67.42013	-67.42013	32000	1.1844636e-06	3.167785e+26	-0.0023577977	0.0	0.8733595	0.01716084	0.2185	7.0	505.4990403652191
8	-10267.838	1360.8115	-9267.583	-12601.465	1000.0	-68.83295	7.6293945e-06	-68.83294	-68.83294	36000	-3.253937e-06	841667.0	-0.005032532	-3.625	0.8742012	0.0014068591	0.063750006	79.0	568.5537292957306
9	-8753.946	192.25076	-8545.085	-9003.319	1000.0	-68.83394	7.6293945e-06	-68.83395	-68.83395	40000	-2.6597977e-06	558266.94	-0.003695365	0.0	0.88020605	0.0050275074	0.027500002	79.0	631.7626774311066
10	-9993.922	918.35205	-8532.273	-10783.955	1000.0	-68.83394	7.6293945e-06	-68.83395	-68.83395	44000	1.0833741e-06	758714.56	-0.005785479	0.0	0.8839033	0.007790716	0.062750004	79.0	695.3194575309753
11	-8813.131	320.63715	-8449.0	-9287.3	1000.0	-68.83394	7.6293945e-06	-68.83395	-68.83395	48000	1.7757417e-06	568466.2	-0.0055848216	0.0	0.8705452	0.006015305	0.0675	79.0	758.0942461490631
12	-7591.081	552.521	-6659.891	-8095.381	1000.0	-68.83394	7.6293945e-06	-68.83395	-68.83395	52000	-2.1314622e-06	412206.56	-0.00574219	0.0	0.8701717	0.0066269464	0.07700001	79.0	821.1354207992554
13	-6495.741	289.33435	-6074.321	-6793.045	1000.0	-68.83394	7.6293945e-06	-68.83395	-68.83395	56000	4.89378e-06	301617.62	-0.004564659	0.0	0.8613829	0.0048473664	0.064	79.0	884.9664800167084
