Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.099999994	7.450581e-09	-0.1	-0.1	177.66667	0.15277112	0.0016492138	0.15503451	0.14874917	4000	4.085541e-06	0.03393577	-0.0090871	-0.032493792	0.91893846	0.016663065	0.28275	5.0	12.771042346954346
1	-0.1	0.0	-0.1	-0.1	696.2	-0.0286686	0.009910581	-0.015956387	-0.04253167	8000	7.05719e-07	0.00085484	-0.004700673	-0.00039864169	0.9181974	0.006965827	0.102000006	79.0	21.815404653549194
2	0.057142854	0.3849198	1.0	-0.1	539.4286	-0.013045701	0.0013184141	-0.011204276	-0.015188251	12000	4.6920778e-07	0.013609485	-0.0023217201	-0.0025657928	0.91102844	0.015166989	0.30975002	11.0	31.252925157546997
3	0.037499998	0.36379078	1.0	-0.1	484.25	0.05339346	0.047031384	0.10620655	-0.027167588	16000	1.9668341e-06	0.017706493	-0.0057817395	-0.0056071896	0.9102801	0.0057270736	0.085250005	79.0	40.56796598434448
4	-0.1	0.0	-0.1	-0.1	548.6667	0.09463829	0.042423904	0.15370566	0.032822937	20000	1.2435913e-06	0.014405254	-0.0045140195	-0.0138790235	0.8933194	0.006020309	0.060000002	79.0	49.371978521347046
5	-0.1	0.0	-0.1	-0.1	650.8333	-0.0008664565	0.013538637	0.011947934	-0.024473071	24000	-1.8386842e-06	0.00088947424	-0.005538298	-0.00035504735	0.8970716	0.0067867236	0.0965	79.0	58.44242262840271
6	-0.087500006	0.03307189	0.0	-0.1	489.25	-0.015536201	0.0042096875	-0.010301229	-0.023362037	28000	1.0185242e-06	0.00048351948	-0.002707287	-1.7294398e-05	0.8957021	0.016441656	0.21525002	7.0	67.56568694114685
7	-0.1	0.0	-0.1	-0.1	461.625	-0.01309885	0.0071634953	-0.0010110028	-0.020679493	32000	7.333756e-07	0.00065892853	-0.0052320673	-8.6631626e-05	0.89544255	0.0066403104	0.088750005	79.0	76.88569855690002
8	-0.1	0.0	-0.1	-0.1	617.8333	-0.021799117	0.0050561693	-0.012771681	-0.026655719	36000	-1.1367798e-06	0.0005794513	-0.008870376	-5.975942e-05	0.9018156	0.011957734	0.14275001	79.0	85.6063621044159
9	0.02222222	0.34569666	1.0	-0.1	401.1111	-0.01502347	0.00038636103	-0.014555261	-0.015825406	40000	-2.5939943e-07	0.013913341	-0.0020834657	-0.0012355158	0.90912855	0.018143412	0.22525	8.0	95.20388007164001
10	0.099999994	0.40414518	1.0	-0.1	596.5	0.009541819	0.024616499	0.059122752	-0.015098341	44000	1.4095307e-06	0.011141618	-0.004191906	-0.000558543	0.9096357	0.008247202	0.098000005	79.0	103.99596881866455
11	0.5285715	0.54435885	1.0	-0.1	565.4286	0.050483994	0.047534812	0.14156348	-0.03445262	48000	-9.87053e-07	0.046826955	-0.0074633723	-0.004552815	0.92468977	0.011158856	0.12650001	79.0	113.38038611412048
12	-0.008333335	0.30402395	1.0	-0.1	324.41666	0.09161794	0.008590819	0.10602349	0.077906355	52000	-2.3241043e-06	0.022627262	-0.0036123688	-0.0098986	0.8999013	0.008385905	0.102000006	79.0	124.26193499565125
13	0.23000002	0.50408334	1.0	-0.1	361.4	0.0028289966	0.026939668	0.036749035	-0.044316918	56000	1.3656617e-06	0.036818184	-0.0048567224	-0.0038017333	0.88940626	0.008878995	0.11925001	79.0	134.37390542030334
14	0.2	0.48989797	1.0	-0.1	360.72726	0.03164064	0.0561339	0.14348072	-0.04994607	60000	-1.0826589e-06	0.029832652	-0.004013686	-0.007876752	0.87723225	0.009707259	0.07675	79.0	144.64038920402527
15	0.069230765	0.39688134	1.0	-0.1	280.53845	0.17872512	0.089284286	0.36584857	0.02486204	64000	-2.4795534e-07	0.057290368	-0.003923394	-0.03153476	0.8819271	0.008197551	0.065000005	79.0	155.27940940856934
16	0.5	0.5477226	1.0	-0.1	362.27274	0.0099550905	0.008448748	0.033299793	-0.0032829866	68000	-2.204895e-06	0.07285672	-0.0045900745	-0.01603011	0.8852911	0.0063234	0.08800001	79.0	166.12356400489807
17	0.3230769	0.53515464	1.0	-0.1	306.84616	0.149723	0.033123568	0.19855814	0.095113456	72000	7.095337e-07	0.054393306	-0.004393944	-0.0037674159	0.8966765	0.0068625314	0.081	79.0	177.16427183151245
18	0.45	0.55	1.0	-0.1	353.5	0.08296509	0.041057955	0.18767592	0.005044073	76000	1.3628006e-06	0.049214914	-0.0048225676	-0.014143605	0.883894	0.006705347	0.095000006	79.0	187.52881240844727
19	0.37142858	0.54435885	1.0	-0.1	274.42856	0.2526414	0.17737263	0.5407501	0.012953639	80000	9.336472e-07	0.10584974	-0.0056020184	-0.04719836	0.8817569	0.008142742	0.089	79.0	198.96341609954834
20	0.21428572	0.49692932	1.0	-0.1	274.5	0.12364841	0.052288976	0.21896589	0.053413086	84000	1.335144e-07	0.047935657	-0.004321757	-0.0042616427	0.87104905	0.011408647	0.11525001	79.0	211.09638261795044
21	0.6117647	0.5256731	1.0	-0.1	227.82353	0.08544038	0.049675725	0.15183392	0.005965315	88000	6.8664555e-08	0.09248534	-0.0038170177	-0.029700011	0.8707508	0.0059095738	0.054250002	79.0	223.25764894485474
22	0.38125002	0.54568624	1.0	-0.1	240.8125	0.1768833	0.12591314	0.4377552	-0.03531521	92000	-3.948212e-07	0.057613634	-0.003904213	-0.0024537705	0.8649136	0.008922472	0.09525	79.0	234.9229221343994
23	0.3631579	0.54310083	1.0	-0.1	202.0	0.22607684	0.12671246	0.43530208	-0.0007661469	96000	9.528399e-07	0.0731334	-0.0037479736	-0.00695768	0.8626809	0.01074665	0.063	79.0	247.992778301239
24	0.57222223	0.53624785	1.0	-0.1	210.33333	0.103772625	0.09767928	0.30533847	-0.056127746	100000	-3.8146974e-09	0.10187953	-0.0046266443	-0.040245112	0.8699334	0.005706851	0.094500005	79.0	261.05508279800415
25	0.3277778	0.53624785	1.0	-0.1	212.33333	0.14385234	0.19330287	0.4754035	-0.2358511	104000	1.4076234e-06	0.06661505	-0.0030978757	-0.009574056	0.85219187	0.006338323	0.051500004	79.0	273.1816153526306
26	0.5722222	0.53624785	1.0	-0.1	217.22223	0.20567247	0.085498	0.3667769	-0.047133867	108000	-1.0108948e-07	0.09438845	-0.00425425	-0.016908921	0.8337785	0.004641306	0.07675	79.0	285.69117546081543
