Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-311.7352	20.039892	-290.10782	-343.61038	1000.0	0.12652859	0.008372198	0.1415617	0.11031585	5000	-0.00015147628	843.6852	-0.0049625784	-434.73764	0.9189386	0.0034710432	0.044999998	79.0	58.67354917526245
1	-312.35162	7.840544	-299.81625	-324.2004	1000.0	-9.127248	0.04775021	-8.997066	-9.201805	10000	0.00017299576	431.46768	-0.0026203014	-196.47287	0.90212977	0.0018649696	0.029199999	79.0	115.7494580745697
2	-335.1611	34.832996	-283.73456	-383.73114	1000.0	-14.865413	0.022983212	-14.801305	-14.899611	15000	0.00019400482	318.5137	-0.0039444566	-140.21815	0.91601735	0.0052528377	0.0316	79.0	173.0465612411499
3	-326.61432	15.47926	-306.63644	-342.8739	1000.0	-19.680046	0.014936176	-19.632719	-19.70385	20000	-0.0001539749	147.89903	-0.0052724066	-71.07417	0.91435087	0.0022023174	0.0422	79.0	231.65471243858337
4	-313.81177	17.631737	-294.4547	-346.17474	1000.0	-23.279219	0.009533481	-23.245754	-23.293377	25000	-0.00015592498	65.27055	-0.0049773376	-29.2486	0.93049246	0.005860855	0.045199998	79.0	289.24785113334656
5	-277.394	22.587717	-257.43185	-313.43692	1000.0	-25.708622	0.009442095	-25.67616	-25.726366	30000	0.00017139473	25.958294	-0.0046031955	-1.6700478	0.91822696	0.0049612257	0.0696	79.0	346.5743074417114
6	-305.85104	55.475266	-271.18433	-416.55875	1000.0	-26.39247	0.009642695	-26.36586	-26.403454	35000	2.1007156e-05	64.94363	-0.0066127516	-8.308617	0.9110031	0.0065034893	0.0848	79.0	404.48004841804504
7	-265.19525	40.458218	-210.63069	-336.14542	972.6	-27.7649	0.007951611	-27.732056	-27.777603	40000	-6.6500856e-05	44.04069	-0.004056073	-0.8945999	0.91161764	0.0084335115	0.0726	79.0	462.0239260196686
8	-206.8373	33.92891	-150.12675	-261.71274	768.3333	-27.349869	0.009054736	-27.320238	-27.36407	45000	-0.00028428648	101.69604	-0.0045166286	-7.692688	0.90948737	0.0026986916	0.031799998	79.0	520.217146396637
9	-245.97066	51.850487	-161.39972	-294.94873	857.2	-25.909859	0.010949223	-25.876034	-25.93267	50000	-4.941559e-06	101.18525	-0.0077710827	-0.42781067	0.88528085	0.006734061	0.084199995	79.0	577.6272971630096
10	-241.98453	105.426605	-134.05362	-442.88892	840.6	-26.200281	0.0046363175	-26.189884	-26.211887	55000	6.2954714e-05	260.35254	-0.004140823	-0.83270264	0.8715775	0.0066947774	0.0692	79.0	635.3667628765106
11	-258.1658	1735.5828	-142.37987	-4558.181	855.4	-25.712074	0.014902686	-25.672958	-25.735456	60000	-8.320923e-05	181644.4	-0.0025671385	-2571.2812	0.8705141	0.0011290701	0.0326	79.0	693.3944990634918
12	-230.30415	68.19674	-139.96053	-331.05896	901.0	-43.003574	0.0034209942	-42.992264	-43.00631	65000	-3.3894346e-05	376.42856	-0.00326471	-50.844604	0.8771797	0.0035338667	0.035	79.0	751.1296026706696
13	-317.1622	158.15315	-199.29266	-630.3983	954.4	-41.44615	0.0016390444	-41.44012	-41.447422	70000	-0.00016108855	931.5959	-0.0038835206	-29.837708	0.8649996	0.015059927	0.234	4.0	808.4403862953186
14	-161.47935	19.527948	-136.4662	-189.98112	718.8333	-39.60256	0.0036653304	-39.59129	-39.60541	75000	0.00015035477	499.58328	-0.0045270915	-135.8927	0.864714	0.008245105	0.0762	79.0	866.4085025787354
15	-167.75517	53.017075	-105.700874	-263.54236	701.2857	-35.897114	0.0046050074	-35.884014	-35.90205	80000	-0.00015628662	315.20084	-0.0054904036	-83.68735	0.8650156	0.0041215685	0.040999997	79.0	924.2829463481903
16	-203.56622	49863340000000.0	-97.735146	-142496360000000.0	651.4286	-32.805298	0.0047926703	-32.789394	-32.811733	85000	1.24786375e-05	2.0407148e+26	-0.0021469695	0.0	0.86151093	0.0032974007	0.0156	79.0	982.7383382320404
17	-190.35011	69.48761	-110.95971	-312.20428	774.8333	-54.923275	7.6293945e-06	-54.923267	-54.923267	90000	0.00015957833	1051.0728	-0.0061612097	116.114136	0.8641706	0.0042577484	0.0652	79.0	1040.2427582740784
18	-141.65709	43.26095	-90.77709	-207.45235	643.2857	-56.757576	3.8146973e-06	-56.75758	-56.75758	95000	5.0686645e-05	1566.3164	-0.0047816345	0.029785156	0.85130715	0.0051169153	0.049599998	79.0	1098.2469372749329
19	-143.29826	15.425602	-126.440895	-176.51608	624.8571	-56.75855	1.1444092e-05	-56.75856	-56.75856	100000	-0.00017016906	1478.12	-0.0061864625	0.0	0.8420642	0.005842692	0.049799997	79.0	1156.4966394901276
20	-144.45206	32.35277	-103.08923	-209.76215	617.375	-56.75855	1.1444092e-05	-56.75856	-56.75856	105000	3.5714722e-05	1518.241	-0.0052832733	0.0	0.83647174	0.0065657576	0.0696	79.0	1215.7834949493408
21	-142.59913	1204885000.0	-98.54683	-3833920800.0	548.6667	-56.75855	1.1444092e-05	-56.75856	-56.75856	110000	0.00045550842	1.476955e+17	-0.0033640624	0.0	0.8267337	0.015604887	0.1934	5.0	1274.28319978714
22	-110.5354	21.49007	-79.8687	-146.03041	479.7	-56.759064	7.6293945e-06	-56.759056	-56.759056	115000	0.00022361068	1616.5897	-0.005411974	0.0048828125	0.8265159	0.0031562075	0.0534	79.0	1333.5293607711792
23	-107.31514	14.337636	-89.88703	-131.75229	484.3	-56.759064	3.8146973e-06	-56.75906	-56.75906	120000	-5.992126e-05	1668.821	-0.004331012	0.0	0.8116159	0.0060724188	0.051799998	79.0	1392.9467842578888
24	-133.64879	105.44402	-73.65824	-464.3333	454.36365	-56.759064	3.8146973e-06	-56.75906	-56.75906	125000	-0.00021341552	2446.695	-0.0043025864	0.0	0.8081107	0.0048733703	0.0426	79.0	1452.402083158493
25	-85.07463	7.4147086	-71.48388	-98.996666	392.41666	-56.759064	3.8146973e-06	-56.75906	-56.75906	130000	0.0002300293	1756.0323	-0.0046955715	0.0	0.82030976	0.006697231	0.078	79.0	1512.40096616745
26	-96.73482	15.95865	-66.63077	-121.382195	444.63635	-56.759064	3.8146973e-06	-56.75906	-56.75906	135000	5.735779e-06	1730.6001	-0.005259254	0.0	0.82809544	0.007862333	0.0734	79.0	1571.5365679264069
