Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-322.7072	5.316361	-315.68063	-332.13815	1000.0	0.11498473	0.005229385	0.12565261	0.102748685	5000	-0.000303891	891.59875	-0.005784224	-449.1971	0.9189386	0.0029635536	0.043199997	79.0	57.27800798416138
1	-331.87296	13.2596445	-310.4599	-348.08496	1000.0	-9.154425	0.043790482	-9.01927	-9.212002	10000	0.00017446135	499.5074	-0.0035215714	-216.99838	0.9008231	0.006815312	0.064399995	79.0	113.67471718788147
2	-296.41928	10.409715	-276.37033	-304.70782	1000.0	-14.995075	0.024222	-14.923907	-15.032254	15000	-4.3666456e-05	183.57668	-0.003543435	-81.96959	0.9070566	0.004429248	0.0468	79.0	170.32445168495178
3	-292.94266	12.438478	-280.14517	-316.36	1000.0	-18.730864	0.01671223	-18.698177	-18.758408	20000	0.00031978567	98.739296	-0.0027583125	-44.45413	0.9029665	0.0027697503	0.0284	79.0	227.19730019569397
4	-290.10272	11.173977	-270.81534	-301.467	1000.0	-21.627941	0.010809266	-21.593525	-21.64246	25000	-0.0002592098	49.38442	-0.00629037	-22.58221	0.89350617	0.007662085	0.0714	79.0	284.27704906463623
5	-263.54926	5.150634	-257.384	-271.59808	1000.0	-23.804493	0.010078913	-23.775455	-23.819351	30000	0.0002270462	18.956924	-0.0039539505	-1.913168	0.8854923	0.0052127987	0.0646	79.0	341.5961103439331
6	-246.46683	23.4301	-214.01788	-284.6501	1000.0	-24.53419	0.009823656	-24.504536	-24.550097	35000	0.00017721443	24.2138	-0.007943004	-0.16974449	0.8750314	0.005708641	0.081199996	79.0	398.45937395095825
7	-202.57332	25.86395	-179.6077	-249.94876	1000.0	-24.35822	0.008298634	-24.337461	-24.370546	40000	-3.969326e-05	55.27588	-0.0055422466	-13.954918	0.86053663	0.007999196	0.054399997	79.0	454.9251751899719
8	-232.74394	18.968525	-207.06305	-256.7581	994.2	-22.463312	0.009206108	-22.441193	-22.477741	45000	-0.00011865692	45.156372	-0.0026275222	-0.17389679	0.86973774	0.003538388	0.0206	79.0	512.2951283454895
9	-206.9128	18.283941	-183.79362	-231.50093	918.2	-22.159462	0.012536767	-22.12672	-22.17934	50000	-7.050781e-05	74.708	-0.004269888	-2.3021622	0.8638423	0.007563092	0.0766	79.0	569.6185705661774
10	-182.644	22.941048	-155.10329	-214.05998	830.1667	-21.333813	0.010043249	-21.308416	-21.347109	55000	0.00013978271	88.07208	-0.004779248	-6.70726	0.85467553	0.009103741	0.076	79.0	627.316189289093
11	-156.5306	15.823085	-133.79391	-180.19421	708.5714	-19.841187	0.009269049	-19.819462	-19.85939	60000	0.00012713317	88.62287	-0.0056203427	-3.2138977	0.8466659	0.011674557	0.0906	79.0	685.7851126194
12	-122.43765	14.93988	-91.22489	-135.56564	580.0	-18.754887	0.0077787507	-18.733831	-18.774347	65000	-0.00014179916	88.93256	-0.0046253563	-4.026764	0.8571663	0.0061203022	0.0646	79.0	744.3613271713257
13	-126.99725	23.97594	-87.56229	-159.51202	573.875	-17.517431	0.015220986	-17.476488	-17.538305	70000	6.348877e-05	83.59976	-0.010782935	-0.07936096	0.8529284	0.007375445	0.083399996	79.0	802.4397768974304
14	-112.45517	18.046953	-83.38932	-140.20128	544.1111	-17.527067	0.013511482	-17.48818	-17.5491	75000	0.00028604126	78.68938	-0.0051710634	-3.7024384	0.84905493	0.008648237	0.0598	79.0	860.6771295070648
15	-119.45307	16.776474	-100.996826	-155.6486	552.7778	-16.348516	0.02733288	-16.292221	-16.403992	80000	2.9610443e-05	80.25703	-0.00531369	-7.65464	0.8318989	0.009793038	0.090799995	79.0	919.2970910072327
16	-147.27834	14479625000000.0	-93.36748	-43782267000000.0	575.625	-15.132859	0.5530189	-14.126686	-16.023693	85000	-0.00014015961	1.9265196e+25	-0.005336275	0.0	0.83542	0.015599782	0.2392	5.0	976.6047427654266
17	-181.78642	28.9071	-139.37543	-214.23993	891.2	-38.7855	0.000509217	-38.784843	-38.78625	90000	0.00011367493	392.51205	-0.0040192353	70.74838	0.83509225	0.0061534387	0.083799995	79.0	1034.1377792358398
18	-139.20859	38.062965	-106.02021	-227.5361	655.4286	-40.62183	0.0005639698	-40.62018	-40.622513	95000	0.00031278076	568.8368	-0.007062189	0.018188477	0.8307579	0.0062091607	0.0556	79.0	1091.3354451656342
19	-119.20654	8.144964	-104.91314	-128.07932	565.875	-40.622128	0.00096971315	-40.617416	-40.62301	100000	-2.8118895e-05	647.1856	-0.0065291165	0.0	0.8121073	0.00733369	0.0742	79.0	1149.2424709796906
20	-129.42322	10.3484745	-119.05415	-146.28471	587.125	-40.6225	0.00054869795	-40.620674	-40.62301	105000	0.00046310422	598.05365	-0.0071579344	0.0	0.81082135	0.005009449	0.062	79.0	1207.657279253006
21	-113.235825	16.28153	-92.027084	-147.81802	507.44446	-40.62248	0.00063994445	-40.620068	-40.62301	110000	0.000111639405	614.224	-0.006651201	0.0	0.7829178	0.0044550626	0.056399997	79.0	1265.9145057201385
22	-105.68245	17.758905	-71.3891	-137.79233	474.3	-40.622467	0.000691769	-40.61976	-40.62301	115000	0.00025141754	638.89606	-0.004423813	0.0	0.7616969	0.006648982	0.054399997	79.0	1324.0466656684875
23	-96.09409	6.4898014	-85.4194	-105.01154	429.54544	-40.622387	0.00079427304	-40.617702	-40.62301	120000	3.229065e-05	665.4298	-0.0053757187	0.0	0.7580954	0.0076466138	0.0602	79.0	1382.262470960617
