Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-336.7925	5.662689	-328.02737	-344.44714	1000.0	0.12924428	0.0037065134	0.1389087	0.12134838	5000	-1.3191222e-06	978.45337	-0.00472139	-475.91888	0.9189386	0.0043843477	0.0488	79.0	60.094720125198364
1	-356.07773	30.537634	-334.5412	-416.0762	1000.0	-9.1287155	0.04476775	-9.028532	-9.2107	10000	2.8217314e-06	625.1819	-0.0019227373	-252.99689	0.90473616	0.0030959002	0.0246	79.0	119.23879861831665
2	-11196647000.0	22393295000.0	-341.7235	-55983235000.0	999.8	-15.175857	0.014229176	-15.14218	-15.209813	15000	2.3315429e-06	3.1347486e+19	-0.0021404175	0.0	0.8950082	0.018630447	0.3014	6.0	179.08312964439392
3	-305.63538	8.101956	-298.64444	-321.24185	1000.0	-26.171116	1.9073486e-06	-26.171118	-26.171118	20000	-2.362442e-06	30.051609	-0.00323351	-6.3191414	0.8952839	0.0049287183	0.0392	79.0	238.89629697799683
4	-303.36267	19.091549	-274.3018	-332.5228	1000.0	-27.166918	1.9073486e-06	-27.16692	-27.16692	25000	-9.788513e-07	38.251694	-0.0054152724	-0.0012207031	0.88533324	0.0082247965	0.066199996	79.0	298.8062655925751
5	-285.84442	8.586075	-274.27686	-298.80978	1000.0	-27.167175	7.6293945e-06	-27.167168	-27.167168	30000	-2.1185874e-06	27.738209	-0.0028283596	0.0	0.87933505	0.004777365	0.0266	79.0	358.1656394004822
6	-324.2526	4.292024	-316.46323	-328.0137	1000.0	-27.167175	7.6293945e-06	-27.167168	-27.167168	35000	1.0315895e-06	34.586243	-0.00614967	0.0	0.87682015	0.0045581497	0.058399998	79.0	417.41282534599304
7	-263.55255	18.644945	-248.61554	-295.55338	1000.0	-27.167175	7.6293945e-06	-27.167168	-27.167168	40000	-3.815651e-06	34.392372	-0.0043332563	0.0	0.86961037	0.005713683	0.0436	79.0	477.0671706199646
8	-264.33612	13.291228	-252.04794	-288.65582	1000.0	-27.167175	7.6293945e-06	-27.167168	-27.167168	45000	1.3260841e-06	35.191135	-0.002481686	0.0	0.8722061	0.0055048745	0.0438	79.0	536.0773572921753
9	-254.46603	38.760643	-209.96332	-326.4664	967.4	-27.167175	7.6293945e-06	-27.167168	-27.167168	50000	5.2524565e-06	72.73815	-0.0055028284	0.0	0.8868021	0.0060992856	0.072799996	79.0	595.0972969532013
10	-215.55026	19.363127	-186.97316	-247.67154	900.6	-27.167175	7.6293945e-06	-27.167168	-27.167168	55000	2.4261474e-06	115.26508	-0.0032290327	0.0	0.8830042	0.005873385	0.043399997	79.0	654.4109401702881
11	-204.41878	16.469667	-182.35268	-231.99063	868.8	-27.167175	7.6293945e-06	-27.167168	-27.167168	60000	1.6830444e-06	115.182144	-0.0056563644	0.0	0.86611265	0.013296302	0.1024	79.0	714.2441971302032
12	-145.90143	11.850115	-135.58313	-170.18365	610.25	-27.167175	7.6293945e-06	-27.167168	-27.167168	65000	6.311035e-06	163.319	-0.0041820547	0.0	0.8494535	0.0056415014	0.056599997	79.0	775.3043613433838
13	-168.61092	7.9764524	-153.39555	-179.6713	661.0	-27.167175	7.6293945e-06	-27.167168	-27.167168	70000	-8.636474e-07	135.05815	-0.0054529128	0.0	0.8432781	0.004526913	0.056399997	79.0	835.0391700267792
14	-163.25801	12.874575	-150.82378	-183.48291	635.1429	-27.167175	7.6293945e-06	-27.167168	-27.167168	75000	-2.2354125e-07	125.909706	-0.0035308646	0.0	0.82727224	0.0055160695	0.0316	79.0	895.4322748184204
15	-155.6221	17.942455	-130.80046	-192.90161	605.25	-27.167175	7.6293945e-06	-27.167168	-27.167168	80000	6.399536e-06	138.66382	-0.0031044143	0.0	0.80311614	0.0057631047	0.060999997	79.0	955.391375541687
16	-146.07364	11.83889	-133.27408	-171.6877	558.0	-27.167175	7.6293945e-06	-27.167168	-27.167168	85000	4.6386717e-06	129.9029	-0.004121438	0.0	0.7915026	0.008994053	0.0708	79.0	1014.8213984966278
17	-124.92165	8.595213	-110.1888	-136.16931	489.2	-27.167175	7.6293945e-06	-27.167168	-27.167168	90000	-2.9129028e-06	156.86177	-0.0066326037	0.0	0.7864955	0.011568246	0.094399996	79.0	1075.8796496391296
18	-113.04768	8.113491	-101.77788	-128.70918	450.54544	-27.167175	7.6293945e-06	-27.167168	-27.167168	95000	1.687622e-06	169.39351	-0.005124624	0.0	0.76648873	0.012072133	0.088	79.0	1136.4246137142181
19	-118.953606	9.652505	-99.779236	-136.47238	451.72726	-27.167175	7.6293945e-06	-27.167168	-27.167168	100000	1.8508911e-06	140.76819	-0.0039216857	0.0	0.7691873	0.009036774	0.0806	79.0	1197.5472033023834
20	-124.05686	11.982258	-104.369934	-144.16927	478.9	-27.167175	7.6293945e-06	-27.167168	-27.167168	105000	4.611206e-06	151.69687	-0.005512524	0.0	0.7694996	0.004918582	0.0568	79.0	1258.8240101337433
21	-121.108444	7.7087607	-112.1253	-136.7415	472.4	-27.167175	7.6293945e-06	-27.167168	-27.167168	110000	-6.0272214e-07	149.23073	-0.005614664	0.0	0.7591674	0.008414196	0.060999997	79.0	1320.2328720092773
22	-126.99398	16.218292	-99.449776	-153.36864	471.8	-27.167175	7.6293945e-06	-27.167168	-27.167168	115000	-3.9367674e-06	132.97827	-0.004243478	0.0	0.7441306	0.008470096	0.069	79.0	1381.6827850341797
23	-650.07166	1698.6283	-102.76944	-6021.571	434.36365	-27.167175	7.6293945e-06	-27.167168	-27.167168	120000	-1.362915e-05	343846.9	-0.0033189033	0.0	0.7400565	0.01623651	0.3062	7.0	1443.7273693084717
24	-112.253914	7.7103024	-101.27347	-123.4983	442.9091	-27.167175	7.6293945e-06	-27.167168	-27.167168	125000	-5.742645e-06	164.81348	-0.004667899	0.0	0.74007004	0.009146698	0.0818	79.0	1505.8368787765503
25	-104.629	7.4724874	-91.220436	-115.01446	408.16666	-27.167175	7.6293945e-06	-27.167168	-27.167168	130000	-2.62146e-06	173.33652	-0.0022473265	0.0	0.7393277	0.0056986967	0.0392	79.0	1567.147781610489
26	-117.40615	7.934418	-104.95354	-129.32263	441.54544	-27.167175	7.6293945e-06	-27.167168	-27.167168	135000	5.5633545e-06	158.72935	-0.002922773	0.0	0.7314899	0.003479034	0.0372	79.0	1629.2767930030823
27	-110.97678	9.26284	-92.99233	-124.618805	417.63635	-27.167175	7.6293945e-06	-27.167168	-27.167168	140000	9.564209e-06	154.50188	-0.002516925	0.0	0.70914	0.00806195	0.0632	79.0	1690.6844317913055
28	-96.67546	4.218197	-87.84107	-102.29299	376.92307	-27.167175	7.6293945e-06	-27.167168	-27.167168	145000	7.3974606e-06	177.55504	-0.0044619325	0.0	0.7120391	0.0033325294	0.0528	79.0	1752.9939632415771
29	-98.99908	6.274647	-88.56083	-109.51063	377.0	-27.167175	7.6293945e-06	-27.167168	-27.167168	150000	1.7906188e-05	171.92769	-0.002655641	0.0	0.7049115	0.004034419	0.029199999	79.0	1815.5174233913422
30	-97.54806	5.0995016	-86.679504	-105.55802	372.0	-27.167175	7.6293945e-06	-27.167168	-27.167168	155000	4.6417235e-06	174.5297	-0.0038710448	0.0	0.69516796	0.006458639	0.031999998	79.0	1878.0602655410767
31	-88.92133	5.0170646	-80.414154	-95.27187	349.35715	-27.167175	7.6293945e-06	-27.167168	-27.167168	160000	-2.3895263e-06	187.48251	-0.002741298	0.0	0.6883892	0.008582544	0.058199998	79.0	1940.6959807872772
32	-84.92707	5.9595017	-76.69611	-96.55043	333.5	-27.167175	7.6293945e-06	-27.167168	-27.167168	165000	4.6936034e-06	184.03745	-0.004933685	0.0	0.6869992	0.0010972564	0.04	79.0	2003.8089661598206
