Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-308.5112	18.328184	-278.91788	-330.51483	1000.0	0.115473464	0.008268854	0.13502268	0.10280097	5000	-9.613037e-08	819.6035	-0.0053654057	-427.54166	0.9189386	0.004033831	0.040999997	79.0	59.21163249015808
1	-314.20697	10.143391	-303.36194	-327.42004	1000.0	-9.131194	0.060761124	-8.926685	-9.19636	10000	-2.785492e-06	432.10684	-0.0031256308	-196.75215	0.9064292	0.0039502396	0.027999999	79.0	118.26603198051453
2	-298.88788	22.932186	-256.95856	-326.35773	1000.0	-14.888423	0.019896239	-14.830257	-14.917415	15000	1.6742706e-06	197.5264	-0.0040410063	-91.21597	0.8960836	0.006140942	0.058	79.0	183.90599060058594
3	-344.8578	28.50128	-302.48788	-380.7369	1000.0	-18.906948	0.016484316	-18.863031	-18.935732	20000	6.499481e-06	231.38574	-0.00434515	-106.62887	0.9006379	0.0040990287	0.0424	79.0	243.77083563804626
4	-344.94788	29.966421	-302.09097	-379.18933	1000.0	-23.314865	0.011664293	-23.264816	-23.331211	25000	-9.538651e-07	129.87888	-0.0054009506	-59.085945	0.9143572	0.0025789272	0.047199998	79.0	303.396103143692
5	-325.97723	20.102587	-297.45242	-350.6366	1000.0	-26.765713	0.0071249795	-26.744064	-26.77733	30000	1.5693664e-06	38.612667	-0.00374301	-17.867596	0.9066607	0.003381488	0.0348	79.0	361.8743665218353
6	-323.1487	39.279396	-276.69797	-380.1969	1000.0	-28.78515	0.0063765673	-28.75767	-28.793173	35000	-4.3539044e-06	64.52402	-0.004442862	-6.3598824	0.90052205	0.0033777878	0.031799998	79.0	421.46627283096313
7	-268.86768	14.529842	-243.64679	-284.71103	1000.0	-30.033937	0.007397424	-30.008595	-30.041794	40000	-2.9165267e-06	26.19249	-0.006142113	-5.8287086	0.8936176	0.008576936	0.0844	79.0	482.06637239456177
8	-313.24774	42.788254	-255.98717	-368.31927	1000.0	-28.911457	0.0055350526	-28.885666	-28.91865	45000	-5.4597854e-07	34.2574	-0.0038547076	-2.8975754	0.9009708	0.0057562413	0.0548	79.0	542.3878147602081
9	-368.6897	67.12588	-245.20117	-448.0032	1000.0	-29.718363	0.006163674	-29.695942	-29.727592	50000	2.2243498e-06	124.428345	-0.0070500774	-33.552094	0.89472663	0.007133427	0.0762	79.0	601.793746471405
10	-345.88263	70.01778	-266.90686	-446.10403	961.4	-32.769833	0.007324148	-32.74511	-32.779877	55000	-2.6145935e-06	123.65285	-0.0048687835	-4.6920166	0.88508767	0.0034714404	0.054199997	79.0	660.2898292541504
11	-252.22256	60.070602	-182.3374	-359.78745	855.2	-34.0538	0.0055729724	-34.03573	-34.06218	60000	-8.030701e-06	117.01025	-0.003584883	-15.406097	0.8953017	0.0040593254	0.0534	79.0	719.1752328872681
12	-361.04102	67.49885	-264.27405	-465.6963	1000.0	-31.92346	0.003932135	-31.911007	-31.929935	65000	6.4270016e-06	78.613686	-0.0034959519	-12.178253	0.8979388	0.0053180032	0.049599998	79.0	778.3559310436249
13	-309.7071	55.20954	-213.86383	-363.00876	920.0	-33.822243	0.0063449256	-33.796906	-33.831947	70000	-4.3640136e-07	53.992104	-0.0047615813	-0.34819412	0.90977705	0.0029603145	0.060599998	79.0	837.2190835475922
