Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-321.34076	7.7780995	-312.03104	-332.34543	1000.0	0.11693856	0.012157559	0.14112759	0.096516095	5000	-8.2664485e-07	883.7076	-0.005821389	-446.57358	0.9189386	0.003443867	0.054199997	79.0	57.69467306137085
1	-309.36505	19.478903	-277.57538	-334.4019	1000.0	-9.156637	0.04141902	-9.02325	-9.217081	10000	5.001068e-07	403.7949	-0.0054255566	-182.46895	0.9083187	0.008925481	0.074599996	79.0	114.75920033454895
2	-267.47406	12.492044	-247.01761	-283.36902	1000.0	-14.674447	0.022542078	-14.6120205	-14.7024975	15000	-8.520126e-07	126.341225	-0.0037201918	-55.671303	0.9079889	0.0039889794	0.0394	79.0	172.02407884597778
3	-257.73932	5.9587784	-251.33511	-266.92606	1000.0	-17.915026	0.017688941	-17.86759	-17.941463	20000	-2.2350312e-06	56.99959	-0.0030325877	-24.871243	0.90870655	0.0038485853	0.0314	79.0	228.9956545829773
4	-260.26804	10.94691	-244.67819	-273.8416	1000.0	-20.211082	0.013339285	-20.16689	-20.226412	25000	3.6808012e-06	34.704323	-0.007271141	-13.556437	0.89421886	0.008539032	0.081599995	79.0	286.48794174194336
5	-211.52261	12.196249	-204.3264	-235.87585	972.0	-21.988113	0.012807805	-21.956709	-22.011726	30000	-1.2252807e-06	55.375763	-0.0060891584	-1.8546333	0.8882658	0.006430415	0.081	79.0	343.8386709690094
6	-201.67229	15.132177	-183.51549	-220.39084	891.0	-21.389048	0.0142173795	-21.35346	-21.41059	35000	-1.0108947e-06	65.46987	-0.0058631967	-0.6224823	0.8853457	0.0058634384	0.0622	79.0	401.442010641098
7	-178.98393	24.283754	-135.75398	-207.31577	847.0	-20.949017	0.015867867	-20.902576	-20.975163	40000	-3.9260863e-06	80.428276	-0.004796617	-6.8210983	0.8869499	0.0034281753	0.0426	79.0	459.0920922756195
8	-157.03159	14.951235	-136.88779	-179.15288	702.5714	-19.5371	0.010763398	-19.508749	-19.554008	45000	-2.5909424e-06	81.216545	-0.007367497	-1.5560913	0.8683468	0.0060495688	0.0634	79.0	517.3650243282318
9	-140.91144	12.797874	-126.39827	-158.3892	619.7143	-18.786032	0.010613997	-18.757298	-18.80557	50000	-5.8074947e-06	78.93405	-0.002212874	-0.05998993	0.84715015	0.0031352618	0.0186	79.0	575.5095698833466
10	-160.61206	13.869072	-135.93855	-180.74748	679.1429	-18.662333	0.012858875	-18.626534	-18.684772	55000	-2.9678345e-06	85.58403	-0.0055179046	-0.70545197	0.8433533	0.0034657093	0.057	79.0	633.6415243148804
11	-147.17395	10.036845	-131.05887	-164.20444	608.375	-19.150612	0.0104555255	-19.128927	-19.177698	60000	-5.8242795e-06	83.558914	-0.003563765	-0.05696869	0.8361341	0.008703726	0.0622	79.0	692.0647993087769
12	-129.07414	10.214241	-107.144035	-144.51547	553.8889	-19.26961	0.008535001	-19.24933	-19.288523	65000	2.6771545e-06	81.74342	-0.003397058	-1.41362	0.8297763	0.003504577	0.037	79.0	750.6441802978516
13	-134.21805	7.1382313	-122.13841	-141.94704	570.25	-18.518972	0.008128215	-18.49644	-18.537502	70000	-1.9371032e-06	80.83609	-0.0060334187	-0.11760712	0.81548166	0.007231126	0.0442	79.0	809.0417275428772
14	-118.45406	13.318569	-97.8236	-146.61465	530.44446	-18.579071	0.011594899	-18.535578	-18.606153	75000	-3.9970396e-06	85.46447	-0.0026600868	-3.9820328	0.8122793	0.0052709784	0.0448	79.0	867.8904395103455
15	-133.11693	74.862236	-99.285736	-356.72394	477.2	-17.37045	0.13796525	-17.017294	-17.584644	80000	3.7963866e-06	565.1764	-0.00428342	-17.93164	0.8195502	0.007712227	0.0862	79.0	926.873254776001
16	-107.63289	7.0217853	-99.74696	-118.17444	472.0	-20.425938	0.020920781	-20.370232	-20.470572	85000	-1.9454956e-07	91.51138	-0.0048514633	-22.432877	0.81294	0.0063882763	0.0806	79.0	986.2124574184418
17	-104.73559	12.191005	-87.19794	-127.58869	436.63635	-16.817972	0.7030224	-15.413205	-17.905941	90000	-1.6418456e-06	83.52532	-0.0043699034	-56.727676	0.8006777	0.0054070908	0.0426	79.0	1045.3215327262878
18	-100.54124	8.818971	-86.6219	-120.14655	436.81818	-15.259705	6.5910096	1.9864478	-21.13683	95000	1.4175415e-06	16.107864	-0.009000922	-7.7619915	0.78194475	0.0044982606	0.083799995	79.0	1104.0966658592224
